trial_type,trial_index,event,rt,time_elapsed,stimulus,response,file_name,trial_number,participant,date,expName,psychopyVersion,OS,frameRate
start experiment,0,loading,0.0,1653.6,,,,,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
informed_consent,1,show_screen,0.0,1701.1,,,,,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
informed_consent,2,keypress,2325.6,4056.4,,,,,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
welcome_screen,3,show_screen,0.0,4056.6,,,,,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
welcome_screen,4,keypress,535.3,5619.5,,,,,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
example_trial,5,show_screen,0.0,5619.8,,,,,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
example_trial,6,keypress,1343.1,7002.8,,,,,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
practice_trial,7,stimulus_presentation,0.0,7162.3,,,,,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
practice_trial,8,click_response,928.1,8603.0,"[""NC2_Images_KrauseMeinhardt(Nomate).png"",""NC1_Images_SteinitzNN(Nomate).png"",""C4_Images_IvanchukSavchenko(Reversed).png""]",2.0,,1.0,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
practice_trial,9,stimulus_presentation,0.0,8604.3,,,,,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
practice_trial,10,click_response,399.6,9519.7,"[""C5_Images_EasyPosition5(Reversed).png"",""C2_Images_KrauseMeinhardt.png"",""C3_Images_StudybyErcoledelRio(Reversed).png""]",3.0,,2.0,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
pause_trial,11,show_screen,0.0,9520.5,,,,,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
pause_trial,12,keypress,733.8,10269.6,,,,,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
main_trial,13,stimulus_presentation,0.0,10425.6,,,,,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
main_trial,14,click_response,833.2,11770.0,"[""C1_Images_SteinitzNN.png"",""NC5_Images_EasyPosition5(Nomate)(Reversed).png"",""C3_Images_StudybyErcoledelRio(Reversed).png""]",3.0,,1.0,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
main_trial,15,stimulus_presentation,0.0,11771.2,,,,,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
main_trial,16,click_response,1454.4,13741.6,"[""NC2_Images_Replacement4(Nomate).png"",""NC4_Images_BrankaWittwer(Nomate)(Reversed).png"",""NC3_Images_PodzerovKuntzevic(Nomate)(Reversed).png""]",1.0,,2.0,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
exit_trial,17,show_screen,0.0,13742.3,,,,,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
exit_trial,18,keypress,236.9,14519.7,,,,,0,2024-05-27_23h50.55.600,odd_one_out_experiment,2022.2.5,Win32,59.88023952
